container,scenario,impact_method,impact_type,unit,process,value
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,total_impact,0.227
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,eu_28_ferro_metals_on_landfill_ts,8.87e-4
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,eu28_efta_primary_aluminium_ingot_consumption_mix_2015_european_aluminium,0.529
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,eu28_efta_primary_aluminium_ingot_consumption_mix_2015_european_aluminium_2,-0.354
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,eu28_efta_turkey_aluminium_remelting_wrought_alloys_ingot_from_scrap_2015_european_aluminium_p_agg,0.0135
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,eu28_efta_turkey_aluminium_sheet_2015_european_aluminium_p_agg,0.0258
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,glo_rail_transport_cargo_diesel_average_train_gross_tonne_weight_1_000t_726t_payload_capacity_ts_u_so,1.33e-4
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,glo_truck_euro_5_20_26t_gross_weight_17_3t_payload_capacity_ts_u_so,4e-4
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,glo_truck_euro_5_20_26t_gross_weight_17_3t_payload_capacity_ts_u_so_2,4e-4
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,glo_truck_euro_5_28_32t_gross_weight_22t_payload_capacity_ts_u_so,0.00341
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,us_diesel_mix_at_refinery_ts,7.65e-4
aluminium,base_scenario,TRACI 2.1,Global Warming Air,excl. biogenic carbon,us_electricity_grid_mix_ts,0.00645
aluminium,base_scenario,TRACI 2.1,Global Warming Air,incl. biogenic carbon,total_impact,0.227
aluminium,base_scenario,TRACI 2.1,Global Warming Air,incl. biogenic carbon,eu_28_ferro_metals_on_landfill_ts,8.57e-4
aluminium,base_scenario,TRACI 2.1,Global Warming Air,incl. biogenic carbon,eu28_efta_primary_aluminium_ingot_consumption_mix_2015_european_aluminium,0.53
